geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
R-HSA-112316	Neuronal System	http://reactome.org/PathwayBrowser/#/R-HSA-112316	40	20	3.8095238095238093	5.25	1.8540724511240114e-14	4.043987367197133e-12	1741;200909;2550;2556;2557;2559;2570;2741;2890;2892;2898;2899;2905;2911;2915;57554;57596;80852;85358;9568	GABBR1;GABBR2;GRM1;GRIK3;GRIN2C;GABRA4;GRIK2;DLG3;GABRA6;GRM5;GABRR2;GABRA3;GRIA3;HTR3D;GRIA1;GLRA1;LRRC7;BEGAIN;SHANK3;GRIP2
R-HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	http://reactome.org/PathwayBrowser/#/R-HSA-112314	23	16	2.1904761904761902	7.304347826086957	3.441691376337985e-14	4.043987367197133e-12	1741;200909;2550;2556;2557;2559;2570;2741;2890;2892;2898;2899;2905;57554;80852;9568	GABBR1;GABBR2;GRIK3;GRIN2C;GABRA4;GRIK2;DLG3;GABRA6;GABRR2;GABRA3;GRIA3;HTR3D;GRIA1;GLRA1;LRRC7;GRIP2
R-HSA-112315	Transmission across Chemical Synapses	http://reactome.org/PathwayBrowser/#/R-HSA-112315	29	16	2.761904761904762	5.793103448275862	7.554068481852028e-12	5.917353644117421e-10	1741;200909;2550;2556;2557;2559;2570;2741;2890;2892;2898;2899;2905;57554;80852;9568	GABBR1;GABBR2;GRIK3;GRIN2C;GABRA4;GRIK2;DLG3;GABRA6;GABRR2;GABRA3;GRIA3;HTR3D;GRIA1;GLRA1;LRRC7;GRIP2
R-HSA-6794362	Protein-protein interactions at synapses	http://reactome.org/PathwayBrowser/#/R-HSA-6794362	8	8	0.7619047619047619	10.5	2.2642971941877477e-9	1.0642196812682414e-7	1741;2890;2892;2905;2911;2915;57596;85358	GRM1;GRIN2C;DLG3;GRM5;GRIA3;GRIA1;BEGAIN;SHANK3
R-HSA-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	http://reactome.org/PathwayBrowser/#/R-HSA-420499	8	8	0.7619047619047619	10.5	2.2642971941877477e-9	1.0642196812682414e-7	2550;2911;2912;2913;2914;2915;2916;9568	GABBR1;GABBR2;GRM2;GRM4;GRM1;GRM6;GRM3;GRM5
R-HSA-6794361	Neurexins and neuroligins	http://reactome.org/PathwayBrowser/#/R-HSA-6794361	6	6	0.5714285714285714	10.5	4.231971455492811e-7	1.6575221534013508e-5	1741;2905;2911;2915;57596;85358	GRM1;GRIN2C;DLG3;GRM5;BEGAIN;SHANK3
R-HSA-438066	Unblocking of NMDA receptors, glutamate binding and activation	http://reactome.org/PathwayBrowser/#/R-HSA-438066	6	5	0.5714285714285714	8.75	3.028882427802415e-5	0.0010168391007622393	1741;2890;2892;2905;57554	GRIN2C;DLG3;GRIA3;GRIA1;LRRC7
R-HSA-8849932	Synaptic adhesion-like molecules	http://reactome.org/PathwayBrowser/#/R-HSA-8849932	4	4	0.38095238095238093	10.5	6.603707493657573e-5	0.0017782231934732051	1741;2890;2892;2905	GRIN2C;DLG3;GRIA3;GRIA1
R-HSA-977443	GABA receptor activation	http://reactome.org/PathwayBrowser/#/R-HSA-977443	10	6	0.9523809523809523	6.300000000000001	6.810216485642062e-5	0.0017782231934732051	2550;2556;2557;2559;2570;9568	GABBR1;GABBR2;GABRA4;GABRA6;GABRR2;GABRA3
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	http://reactome.org/PathwayBrowser/#/R-HSA-442755	7	5	0.6666666666666666	7.5	9.908043733597438e-5	0.002328390277395398	1741;2890;2892;2905;57554	GRIN2C;DLG3;GRIA3;GRIA1;LRRC7
R-HSA-416993	Trafficking of GluR2-containing AMPA receptors	http://reactome.org/PathwayBrowser/#/R-HSA-416993	3	3	0.2857142857142857	10.5	7.752178362119277e-4	0.013012585107843071	2890;2892;80852	GRIA3;GRIA1;GRIP2
R-HSA-451306	Ionotropic activity of kainate receptors	http://reactome.org/PathwayBrowser/#/R-HSA-451306	3	3	0.2857142857142857	10.5	7.752178362119277e-4	0.013012585107843071	1741;2898;2899	GRIK3;GRIK2;DLG3
R-HSA-451308	Activation of Ca-permeable Kainate Receptor	http://reactome.org/PathwayBrowser/#/R-HSA-451308	3	3	0.2857142857142857	10.5	7.752178362119277e-4	0.013012585107843071	1741;2898;2899	GRIK3;GRIK2;DLG3
R-HSA-977441	GABA A receptor activation	http://reactome.org/PathwayBrowser/#/R-HSA-977441	3	3	0.2857142857142857	10.5	7.752178362119277e-4	0.013012585107843071	2556;2557;2559	GABRA4;GABRA6;GABRA3
R-HSA-399719	Trafficking of AMPA receptors	http://reactome.org/PathwayBrowser/#/R-HSA-399719	4	3	0.38095238095238093	7.875	0.002902760120038206	0.03590255937941991	2890;2892;80852	GRIA3;GRIA1;GRIP2
R-HSA-399721	Glutamate binding, activation of AMPA receptors and synaptic plasticity	http://reactome.org/PathwayBrowser/#/R-HSA-399721	4	3	0.38095238095238093	7.875	0.002902760120038206	0.03590255937941991	2890;2892;80852	GRIA3;GRIA1;GRIP2
R-HSA-451326	Activation of kainate receptors upon glutamate binding	http://reactome.org/PathwayBrowser/#/R-HSA-451326	4	3	0.38095238095238093	7.875	0.002902760120038206	0.03590255937941991	1741;2898;2899	GRIK3;GRIK2;DLG3
R-HSA-442729	CREB phosphorylation through the activation of CaMKII	http://reactome.org/PathwayBrowser/#/R-HSA-442729	4	3	0.38095238095238093	7.875	0.002902760120038206	0.03590255937941991	1741;2905;57554	GRIN2C;DLG3;LRRC7
R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	http://reactome.org/PathwayBrowser/#/R-HSA-442982	4	3	0.38095238095238093	7.875	0.002902760120038206	0.03590255937941991	1741;2905;57554	GRIN2C;DLG3;LRRC7
