Gene name,StrLabel,Label,Summary
LIME1,Membrane,0,"This genomic region, which overlaps two proteincoding exons of the LIME1 (Lck interacting transmembrane adaptor 1) gene, was predicted to be an exonic enhancer (eExon) based on an enhancerassociated chromatin signature (H3K4me1, H3K27ac and p300) in liver. It was validated as a functional enhancer by reporter assays in HepG2 cells. This eExon was found to be associated with the HNF4A and HNF4G transcription factors by ChIP assays in human liver cells. Involved in BCR (Bcell antigen receptor)mediated signaling in Bcells and TCR (Tcell antigen receptor)mediated Tcell signaling in Tcells. In absence of TCR signaling, may be involved in CD4 mediated inhibition of Tcell activation. Couples activation of these receptors and their associated kinases with distal intracellular events such as calcium mobilization or MAPK activation through the recruitment of PLCG2, GRB2, GRAP2, and other signaling molecules."
ASAH2,Membrane,0,"Ceramidases (EC 3.5.1.23), such as ASAH2, catalyze hydrolysis of the Nacyl linkage of ceramide, a second messenger in a variety of cellular events, to produce sphingosine. Sphingosine exerts both mitogenic and apoptosisinducing activities, and its phosphorylated form functions as an intra and intercellular second messenger (see MIM 603730) .. Plasma membrane ceramidase that hydrolyzes sphingolipid ceramides into sphingosine and free fatty acids at neutral pH . Ceramides, sphingosine, and its phosphorylated form sphingosine1phosphate are bioactive lipids that mediate cellular signaling pathways regulating several biological processes including cell proliferation, apoptosis and differentiation . Also catalyzes the reverse reaction allowing the synthesis of ceramides from fatty acids and sphingosine . Together with sphingomyelinase, participates in the production of sphingosine and sphingosine1 phosphate from the degradation of sphingomyelin, a sphingolipid enriched in the plasma membrane of cells . Also participates in the hydrolysis of ceramides from the extracellular milieu allowing the production of sphingosine1phosphate inside and outside cells . This is the case for instance with the digestion of dietary sphingolipids in the intestinal tract ."
TMEM219,Membrane,0,"Predicted to be involved in apoptotic process. Predicted to be located in plasma membrane. ell death receptor specific for IGFBP3, may mediate caspase 8dependent apoptosis upon ligand binding."
C2orf88,Membrane,0,Predicted to enable protein kinase A regulatory subunit binding activity. Predicted to be located in plasma membrane. Binds to type I regulatory subunits of protein kinase A (PKA RI) and may anchor/target them to the plasma membrane.
ADGRD1,Membrane,0, Orphan receptor. Signals via G(s)alpha family of Gproteins . Has protumorigenic function especially in glioblastoma .
ABCC1,Membrane,0,"The protein encoded by this gene is a member of the superfamily of ATPbinding cassette (ABC) transporters. ABC proteins transport various molecules across extraand intracellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This full transporter is a member of the MRP subfamily which is involved in multidrug resistance. This protein functions as a multispecific organic anion transporter, with oxidized glutatione, cysteinyl leukotrienes, and activated aflatoxin B1 as substrates. This protein also transports glucuronides and sulfate conjugates of steroid hormones and bile salts. Alternatively spliced variants of this gene have been described but their fulllength nature is unknown. Mediates export of organic anions and drugs from the cytoplasm . Mediates ATPdependent transport of glutathione and glutathione conjugates, leukotriene C4, estradiol17 betaoglucuronide, methotrexate, antiviral drugs and other xenobiotics . Confers resistance to anticancer drugs by decreasing accumulation of drug in cells, and by mediating ATP and GSHdependent drug export . Hydrolyzes ATP with low efficiency . Catalyzes the export of sphingosine 1phosphate from mast cells independently of their degranulation . Participates in inflammatory response by allowing export of leukotriene C4 from leukotriene C4synthezing cells . Mediates ATP dependent, GSHindependent cyclic GMPAMP (cGAMP) export . Thus, by limiting intracellular cGAMP concentrations negatively regulates the cGASSTING pathway ."
TCAF1,Membrane,0,Enables transmembrane transporter binding activity. Involved in negative regulation of cell migration; positive regulation of anion channel activity; and positive regulation of protein targeting to membrane. Located in plasma membrane. Positively regulates the plasma membrane cation channel TRPM8 activity. Involved in the recruitment of TRPM8 to the cell surface. Promotes prostate cancer cell migration inhibition in a TRPM8dependent manner.
SCN5A,Membrane,0,"The protein encoded by this gene is an integral membrane protein and tetrodotoxinresistant voltagegated sodium channel subunit. This protein is found primarily in cardiac muscle and is responsible for the initial upstroke of the action potential in an electrocardiogram. Defects in this gene have been associated with long QT syndrome type 3 (LQT3), atrial fibrillation, cardiomyopathy, and Brugada syndrome 1, all autosomal dominant cardiac diseases. Alternative splicing results in several transcript variants encoding different isoforms. This protein mediates the voltagedependent sodium ion permeability of excitable membranes. Assuming opened or closed conformations in response to the voltage difference across the membrane, the protein forms a sodiumselective channel through which Na(+) ions may pass in accordance with their electrochemical gradient . It is a tetrodotoxinresistant Na(+) channel isoform . This channel is responsible for the initial upstroke of the action potential. Channel inactivation is regulated by intracellular calcium levels ."
CLCN1,Membrane,0,"The CLCN family of voltagedependent chloride channel genes comprises nine members (CLCN17, Ka and Kb) which demonstrate quite diverse functional characteristics while sharing significant sequence homology. The protein encoded by this gene regulates the electric excitability of the skeletal muscle membrane. Mutations in this gene cause two forms of inherited human muscle disorders: recessive generalized myotonia congenita (Becker) and dominant myotonia (Thomsen). Alternative splicing results in multiple transcript variants. Voltagegated chloride channel . Plays an important role in membrane repolarization in skeletal muscle cells after muscle contraction. The CLC channel family contains both chloride channels and protoncoupled anion transporters that exchange chloride or another anion for protons (Probable). The absence of conserved gating glutamate residues is typical for family members that function as channels (Probable)."
CLEC12A,Membrane,0, ell surface receptor that modulates signaling cascades and mediates tyrosine phosphorylation of target MAP kinases.
